Date,Non ESG EM (Adjusted),ESG EM (Raw),ESG EM (Adjusted)
12-Mar-20,883.13,972.13,1216.13
13-Mar-20,891.2,980.2,1265.2
16-Mar-20,833.18,922.18,1154.18
17-Mar-20,826.68,915.68,1088.68
18-Mar-20,787.81,876.81,1051.81
19-Mar-20,766.41,855.41,977.41
20-Mar-20,803.23,892.23,1345.23
23-Mar-20,758.2,847.2,1024.2
24-Mar-20,801.73,890.73,1232.73
25-Mar-20,836.54,925.54,1040.54
26-Mar-20,851.28,940.28,1417.28
27-Mar-20,842.54,931.54,1335.54
30-Mar-20,832.02,921.02,1121.02
31-Mar-20,848.58,937.58,1120.58
1-Apr-20,827.26,916.26,1332.26
2-Apr-20,838.53,927.53,1224.53
3-Apr-20,831.72,920.72,1131.72
6-Apr-20,853.83,942.83,1146.83
7-Apr-20,878.15,967.15,1351.15
8-Apr-20,873.85,962.85,1452.85
9-Apr-20,887.58,976.58,1208.58
10-Apr-20,888.16,977.16,1373.16
13-Apr-20,883.14,972.14,1253.14
14-Apr-20,896.29,985.29,1400.29
15-Apr-20,888.14,977.14,1151.14
16-Apr-20,884.86,973.86,1352.86
17-Apr-20,901.31,990.31,1158.31
20-Apr-20,899.33,988.33,1158.33
21-Apr-20,878.24,967.24,1448.24
22-Apr-20,888.64,977.64,1193.64
23-Apr-20,891.81,980.81,1381.81
24-Apr-20,879.41,968.41,1326.41
27-Apr-20,895.33,984.33,1301.33
28-Apr-20,902.7,991.7,1247.7
29-Apr-20,919.66,1008.66,1370.66
30-Apr-20,924.94,1013.94,1493.94
1-May-20,916.77,1005.77,1418.77
4-May-20,887.98,976.98,1199.98
5-May-20,895.74,984.74,1306.74
6-May-20,898.7,987.7,1306.7
7-May-20,896.89,985.89,1247.89
8-May-20,911.65,1000.65,1286.65
11-May-20,915.9,1004.9,1347.9
12-May-20,909.31,998.31,1242.31
13-May-20,909.2,998.2,1425.2
14-May-20,900.87,989.87,1294.87
15-May-20,901.16,990.16,1394.16
18-May-20,912.57,1001.57,1358.57
19-May-20,925.22,1014.22,1263.22
20-May-20,931.5,1020.5,1374.5
21-May-20,930.01,1019.01,1291.01
22-May-20,905.25,994.25,1201.25
25-May-20,911.41,1000.41,1162.41
26-May-20,926.65,1015.65,1206.65
27-May-20,927.37,1016.37,1447.37
28-May-20,925.34,1014.34,1320.34
29-May-20,930.35,1019.35,1312.35
1-Jun-20,951.48,1040.48,1415.48
2-Jun-20,967.48,1056.48,1527.48
3-Jun-20,988.02,1077.02,1257.02
4-Jun-20,988.8,1077.8,1482.8
5-Jun-20,1002.65,1091.65,1405.65
8-Jun-20,1007.46,1096.46,1257.46
9-Jun-20,1009.61,1098.61,1370.61
10-Jun-20,1012.51,1101.51,1540.51
11-Jun-20,993.59,1082.59,1200.59
12-Jun-20,987.01,1076.01,1395.01
15-Jun-20,966.32,1055.32,1287.32
16-Jun-20,989.87,1078.87,1563.87
17-Jun-20,994.62,1083.62,1418.62
18-Jun-20,995.18,1084.18,1507.18
19-Jun-20,1001.36,1090.36,1515.36
22-Jun-20,1000.19,1089.19,1582.19
23-Jun-20,1014.62,1103.62,1561.62
24-Jun-20,1010.79,1099.79,1484.79
25-Jun-20,1004.44,1093.44,1289.44
26-Jun-20,998.9,1087.9,1214.9
29-Jun-20,993.96,1082.96,1324.96
30-Jun-20,995.1,1084.1,1448.1
1-Jul-20,1001.08,1090.08,1200.08
2-Jul-20,1023.48,1112.48,1386.48
3-Jul-20,1033.09,1122.09,1584.09
6-Jul-20,1060.5,1149.5,1607.5
7-Jul-20,1052.54,1141.54,1546.54
8-Jul-20,1070.14,1159.14,1320.14
9-Jul-20,1079.69,1168.69,1655.69
10-Jul-20,1069.27,1158.27,1542.27
13-Jul-20,1071.36,1160.36,1300.36
14-Jul-20,1059.52,1148.52,1248.52
15-Jul-20,1066.29,1155.29,1460.29
16-Jul-20,1045.93,1134.93,1269.93
17-Jul-20,1055.06,1144.06,1638.06
20-Jul-20,1064.5,1153.5,1470.5
21-Jul-20,1085.86,1174.86,1327.86
22-Jul-20,1077.78,1166.78,1500.78
23-Jul-20,1077.6,1166.6,1396.6
24-Jul-20,1060.47,1149.47,1526.47
27-Jul-20,1073.14,1162.14,1268.14
28-Jul-20,1082.02,1171.02,1467.02
29-Jul-20,1086.62,1175.62,1666.62
30-Jul-20,1082.06,1171.06,1501.06
31-Jul-20,1078.92,1167.92,1447.92
3-Aug-20,1077.87,1166.87,1365.87
4-Aug-20,1089.58,1178.58,1403.58
5-Aug-20,1103.03,1192.03,1671.03
6-Aug-20,1106.58,1195.58,1485.58
7-Aug-20,1089.32,1178.32,1575.32
10-Aug-20,1086.45,1175.45,1644.45
11-Aug-20,1091.23,1180.23,1351.23
12-Aug-20,1093.98,1182.98,1567.98
13-Aug-20,1096.18,1185.18,1473.18
14-Aug-20,1093.16,1182.16,1542.16
17-Aug-20,1099.96,1188.96,1659.96
18-Aug-20,1104.96,1193.96,1469.96
19-Aug-20,1099.41,1188.41,1299.41
20-Aug-20,1080.54,1169.54,1512.54
21-Aug-20,1091.85,1180.85,1430.85
24-Aug-20,1108.23,1197.23,1651.23
25-Aug-20,1114.72,1203.72,1689.72
26-Aug-20,1119.34,1208.34,1652.34
27-Aug-20,1117.22,1206.22,1439.22
28-Aug-20,1121.6,1210.6,1349.6
31-Aug-20,1101.5,1190.5,1566.5
1-Sep-20,1120.02,1209.02,1679.02
2-Sep-20,1118.9,1207.9,1560.9
3-Sep-20,1108.85,1197.85,1659.85
4-Sep-20,1099.5,1188.5,1312.5
7-Sep-20,1094.56,1183.56,1553.56
8-Sep-20,1087.51,1176.51,1379.51
9-Sep-20,1085.75,1174.75,1593.75
10-Sep-20,1085.31,1174.31,1360.31
11-Sep-20,1091.79,1180.79,1368.79
14-Sep-20,1104.27,1193.27,1380.27
15-Sep-20,1112.62,1201.62,1322.62
16-Sep-20,1116.99,1205.99,1353.99
17-Sep-20,1106.82,1195.82,1541.82
18-Sep-20,1108.53,1197.53,1433.53
21-Sep-20,1090.35,1179.35,1333.35
22-Sep-20,1082.87,1171.87,1615.87
23-Sep-20,1077.7,1166.7,1601.7
24-Sep-20,1057.74,1146.74,1540.74
25-Sep-20,1059.1,1148.1,1276.1
28-Sep-20,1069.88,1158.88,1476.88
29-Sep-20,1068.79,1157.79,1638.79
30-Sep-20,1082,1171,1409
1-Oct-20,1084.84,1173.84,1355.84
2-Oct-20,1081.71,1170.71,1469.71
5-Oct-20,1091.38,1180.38,1634.38
6-Oct-20,1102.47,1191.47,1637.47
7-Oct-20,1107.9,1196.9,1410.9
8-Oct-20,1117.44,1206.44,1418.44
9-Oct-20,1122.51,1211.51,1534.51
12-Oct-20,1137.17,1226.17,1624.17
13-Oct-20,1136.42,1225.42,1449.42
14-Oct-20,1135.56,1224.56,1711.56
15-Oct-20,1120.54,1209.54,1373.54
16-Oct-20,1124.08,1213.08,1444.08
19-Oct-20,1127.28,1216.28,1509.28
20-Oct-20,1133.94,1222.94,1603.94
21-Oct-20,1137.91,1226.91,1433.91
22-Oct-20,1136.54,1225.54,1559.54
23-Oct-20,1136.45,1225.45,1391.45
26-Oct-20,1130.65,1219.65,1607.65
27-Oct-20,1133.99,1222.99,1488.99
28-Oct-20,1120.75,1209.75,1502.75
29-Oct-20,1120.11,1209.11,1581.11
30-Oct-20,1103.46,1192.46,1319.46
2-Nov-20,1114.76,1203.76,1687.76
3-Nov-20,1120.88,1209.88,1346.88
4-Nov-20,1135.26,1224.26,1683.26
5-Nov-20,1166.23,1255.23,1571.23
6-Nov-20,1176.36,1265.36,1525.36
9-Nov-20,1192.37,1281.37,1674.37
10-Nov-20,1179.92,1268.92,1738.92
11-Nov-20,1178.86,1267.86,1639.86
12-Nov-20,1182.1,1271.1,1436.1
13-Nov-20,1188.35,1277.35,1655.35
16-Nov-20,1203.04,1292.04,1460.04
17-Nov-20,1201.43,1290.43,1737.43
18-Nov-20,1207.55,1296.55,1456.55
19-Nov-20,1200.44,1289.44,1722.44
20-Nov-20,1209.26,1298.26,1432.26
23-Nov-20,1220.52,1309.52,1530.52
24-Nov-20,1225.99,1314.99,1602.99
25-Nov-20,1218.29,1307.29,1538.29
26-Nov-20,1229.58,1318.58,1513.58
27-Nov-20,1230.72,1319.72,1651.72
30-Nov-20,1205.07,1294.07,1654.07
1-Dec-20,1224,1313,1422
2-Dec-20,1228.71,1317.71,1597.71
3-Dec-20,1239.46,1328.46,1434.46
4-Dec-20,1251.04,1340.04,1608.04
7-Dec-20,1253.39,1342.39,1510.39
8-Dec-20,1254.23,1343.23,1748.23
9-Dec-20,1255.85,1344.85,1546.85
10-Dec-20,1255.03,1344.03,1757.03
11-Dec-20,1257.66,1346.66,1776.66
14-Dec-20,1250.45,1339.45,1560.45
15-Dec-20,1250.21,1339.21,1774.21
16-Dec-20,1263.82,1352.82,1805.82
17-Dec-20,1272.96,1361.96,1769.96
18-Dec-20,1268.36,1357.36,1771.36
21-Dec-20,1257.01,1346.01,1500.01
22-Dec-20,1248.71,1337.71,1564.71
23-Dec-20,1258.1,1347.1,1744.1
24-Dec-20,1253.53,1342.53,1750.53
25-Dec-20,1255.2,1344.2,1587.2
28-Dec-20,1252.33,1341.33,1535.33
29-Dec-20,1266.77,1355.77,1474.77
30-Dec-20,1289.03,1378.03,1783.03
31-Dec-20,1291.26,1380.26,1800.26
1-Jan-21,1291.75,1380.75,1713.75
4-Jan-21,1304.43,1393.43,1616.43
5-Jan-21,1319.97,1408.97,1667.97
6-Jan-21,1315.33,1404.33,1891.33
7-Jan-21,1322.3,1411.3,1857.3
8-Jan-21,1353.53,1442.53,1641.53
11-Jan-21,1349.6,1438.6,1833.6
12-Jan-21,1353.57,1442.57,1765.57
13-Jan-21,1364.07,1453.07,1789.07
14-Jan-21,1370.76,1459.76,1570.76
15-Jan-21,1358.03,1447.03,1809.03
18-Jan-21,1358.98,1447.98,1899.98
19-Jan-21,1381.31,1470.31,1588.31
20-Jan-21,1400.97,1489.97,1853.97
21-Jan-21,1406.07,1495.07,1653.07
22-Jan-21,1392.85,1481.85,1673.85
25-Jan-21,1410.2,1499.2,1987.2
26-Jan-21,1388.76,1477.76,1766.76
27-Jan-21,1371.42,1460.42,1693.42
28-Jan-21,1350.59,1439.59,1712.59
29-Jan-21,1329.57,1418.57,1912.57
1-Feb-21,1361.09,1450.09,1633.09
2-Feb-21,1381.19,1470.19,1887.19
3-Feb-21,1392.64,1481.64,1656.64
4-Feb-21,1387.61,1476.61,1700.61
5-Feb-21,1395.35,1484.35,1735.35
8-Feb-21,1399.82,1488.82,1613.82
9-Feb-21,1409.14,1498.14,1667.14
10-Feb-21,1422.95,1511.95,1918.95
11-Feb-21,1427.89,1516.89,1806.89
12-Feb-21,1428.87,1517.87,1865.87
15-Feb-21,1437.72,1526.72,1824.72
16-Feb-21,1442.17,1531.17,1673.17
17-Feb-21,1444.93,1533.93,1894.93
18-Feb-21,1425.13,1514.13,1950.13
19-Feb-21,1430.03,1519.03,1724.03
22-Feb-21,1397.67,1486.67,1716.67
23-Feb-21,1398.2,1487.2,1599.2
24-Feb-21,1376.76,1465.76,1961.76
25-Feb-21,1383.81,1472.81,1777.81
26-Feb-21,1339.26,1428.26,1638.26
1-Mar-21,1362.47,1451.47,1875.47
2-Mar-21,1359.65,1448.65,1831.65
3-Mar-21,1378.02,1467.02,1840.02
4-Mar-21,1346.34,1435.34,1730.34
5-Mar-21,1339.31,1428.31,1559.31
8-Mar-21,1308.14,1397.14,1829.14
9-Mar-21,1317.85,1406.85,1896.85
10-Mar-21,1324.9,1413.9,1687.9
11-Mar-21,1357.6,1446.6,1831.6
12-Mar-21,1348.2,1437.2,1763.2
15-Mar-21,1340.25,1429.25,1585.25
16-Mar-21,1349.07,1438.07,1677.07
17-Mar-21,1342.8,1431.8,1561.8
18-Mar-21,1347.33,1436.33,1931.33
19-Mar-21,1336.84,1425.84,1593.84
22-Mar-21,1336.27,1425.27,1572.27
23-Mar-21,1323.77,1412.77,1652.77
24-Mar-21,1298.44,1387.44,1513.44
25-Mar-21,1288.42,1377.42,1725.42
26-Mar-21,1307.48,1396.48,1613.48
29-Mar-21,1310.11,1399.11,1575.11
30-Mar-21,1319.5,1408.5,1642.5
31-Mar-21,1316.43,1405.43,1824.43
1-Apr-21,1335.24,1424.24,1613.24
2-Apr-21,1338.23,1427.23,1595.23
5-Apr-21,1338.79,1427.79,1689.79
6-Apr-21,1346.91,1435.91,1590.91
7-Apr-21,1338.76,1427.76,1689.76
8-Apr-21,1343.36,1432.36,1569.36
9-Apr-21,1330.36,1419.36,1843.36
12-Apr-21,1322.32,1411.32,1517.32
13-Apr-21,1323.95,1412.95,1770.95
14-Apr-21,1336.59,1425.59,1855.59
15-Apr-21,1341.09,1430.09,1831.09
16-Apr-21,1348.69,1437.69,1910.69
19-Apr-21,1348.55,1437.55,1819.55
20-Apr-21,1347.61,1436.61,1760.61
21-Apr-21,1336.87,1425.87,1895.87
22-Apr-21,1341.43,1430.43,1817.43
23-Apr-21,1353.02,1442.02,1765.02
26-Apr-21,1360.64,1449.64,1550.64
27-Apr-21,1361.96,1450.96,1649.96
28-Apr-21,1364.96,1453.96,1608.96
29-Apr-21,1364.54,1453.54,1840.54
30-Apr-21,1347.61,1436.61,1592.61
3-May-21,1338.89,1427.89,1666.89
4-May-21,1334.99,1423.99,1742.99
5-May-21,1333.05,1422.05,1660.05
6-May-21,1340.8,1429.8,1704.8
7-May-21,1348.57,1437.57,1900.57
10-May-21,1346.35,1435.35,1699.35
11-May-21,1329.08,1418.08,1830.08
12-May-21,1315.25,1404.25,1560.25
13-May-21,1292.78,1381.78,1799.78
14-May-21,1307.53,1396.53,1578.53
17-May-21,1311.45,1400.45,1749.45
18-May-21,1333.18,1422.18,1619.18
19-May-21,1327.54,1416.54,1689.54
20-May-21,1329.31,1418.31,1877.31
21-May-21,1330.04,1419.04,1748.04
24-May-21,1326.68,1415.68,1528.68
25-May-21,1345.49,1434.49,1909.49
26-May-21,1351.95,1440.95,1719.95
27-May-21,1354.31,1443.31,1555.31
28-May-21,1360.78,1449.78,1948.78
31-May-21,1376.21,1465.21,1895.21
1-Jun-21,1390.85,1479.85,1918.85
2-Jun-21,1388.47,1477.47,1607.47
3-Jun-21,1383.57,1472.57,1764.57
4-Jun-21,1381.56,1470.56,1929.56
7-Jun-21,1380.59,1469.59,1904.59
8-Jun-21,1377.43,1466.43,1900.43
9-Jun-21,1372.8,1461.8,1613.8
10-Jun-21,1378.85,1467.85,1896.85
11-Jun-21,1381.99,1470.99,1767.99
14-Jun-21,1383.19,1472.19,1797.19
15-Jun-21,1378.27,1467.27,1620.27
16-Jun-21,1370,1459,1696
17-Jun-21,1362.89,1451.89,1737.89
18-Jun-21,1361.25,1450.25,1648.25
21-Jun-21,1350.52,1439.52,1792.52
22-Jun-21,1346.84,1435.84,1610.84
23-Jun-21,1360.5,1449.5,1926.5
24-Jun-21,1367.39,1456.39,1611.39
25-Jun-21,1379.59,1468.59,1587.59
28-Jun-21,1380.9,1469.9,1878.9
29-Jun-21,1377.15,1466.15,1787.15
30-Jun-21,1374.64,1463.64,1859.64
1-Jul-21,1368.22,1457.22,1803.22
2-Jul-21,1355.38,1444.38,1658.38
5-Jul-21,1354.47,1443.47,1633.47
6-Jul-21,1346.58,1435.58,1900.58
7-Jul-21,1340.68,1429.68,1850.68
8-Jul-21,1316.25,1405.25,1557.25
9-Jul-21,1318.18,1407.18,1571.18
12-Jul-21,1326.83,1415.83,1571.83
13-Jul-21,1339.51,1428.51,1859.51
14-Jul-21,1338.13,1427.13,1603.13
15-Jul-21,1348.48,1437.48,1562.48
16-Jul-21,1340.08,1429.08,1909.08
19-Jul-21,1317.22,1406.22,1815.22
20-Jul-21,1311.07,1400.07,1569.07
21-Jul-21,1312.15,1401.15,1532.15
22-Jul-21,1326.38,1415.38,1570.38
23-Jul-21,1311.3,1400.3,1508.3
26-Jul-21,1279.99,1368.99,1561.99
27-Jul-21,1252.43,1341.43,1630.43
28-Jul-21,1268.21,1357.21,1579.21
29-Jul-21,1295.41,1384.41,1867.41
30-Jul-21,1277.81,1366.81,1856.81
2-Aug-21,1293.11,1382.11,1736.11
3-Aug-21,1294.18,1383.18,1535.18
4-Aug-21,1303.99,1392.99,1703.99
5-Aug-21,1300.09,1389.09,1604.09
6-Aug-21,1292.53,1381.53,1752.53
9-Aug-21,1294.2,1383.2,1649.2
10-Aug-21,1300.33,1389.33,1795.33
11-Aug-21,1297.58,1386.58,1711.58
12-Aug-21,1290.91,1379.91,1780.91
13-Aug-21,1280.86,1369.86,1707.86
16-Aug-21,1272.19,1361.19,1515.19
17-Aug-21,1255.78,1344.78,1449.78
18-Aug-21,1261.6,1350.6,1566.6
19-Aug-21,1232.41,1321.41,1580.41
20-Aug-21,1220.78,1309.78,1694.78
23-Aug-21,1237.53,1326.53,1730.53
24-Aug-21,1270.01,1359.01,1741.01
25-Aug-21,1275.31,1364.31,1603.31
26-Aug-21,1266.13,1355.13,1493.13
27-Aug-21,1272.67,1361.67,1826.67
30-Aug-21,1285.39,1374.39,1852.39
31-Aug-21,1308.67,1397.67,1636.67
1-Sep-21,1312.44,1401.44,1815.44
2-Sep-21,1311.91,1400.91,1859.91
3-Sep-21,1315.91,1404.91,1903.91
6-Sep-21,1324.37,1413.37,1732.37
7-Sep-21,1325.65,1414.65,1770.65
8-Sep-21,1313.6,1402.6,1564.6
9-Sep-21,1299.97,1388.97,1744.97
10-Sep-21,1308.94,1397.94,1701.94
13-Sep-21,1301.54,1390.54,1557.54
14-Sep-21,1296.15,1385.15,1821.15
15-Sep-21,1288.68,1377.68,1648.68
16-Sep-21,1276.78,1365.78,1541.78
17-Sep-21,1279.35,1368.35,1542.35
20-Sep-21,1258.23,1347.23,1610.23
21-Sep-21,1261.41,1350.41,1651.41
22-Sep-21,1262.79,1351.79,1819.79
23-Sep-21,1272.52,1361.52,1502.52
24-Sep-21,1265.1,1354.1,1675.1
27-Sep-21,1267.36,1356.36,1485.36
28-Sep-21,1260.89,1349.89,1768.89
29-Sep-21,1251.28,1340.28,1775.28
30-Sep-21,1253.1,1342.1,1580.1
1-Oct-21,1246.6,1335.6,1720.6
4-Oct-21,1236.41,1325.41,1637.41
5-Oct-21,1236.51,1325.51,1496.51
6-Oct-21,1227.13,1316.13,1738.13
7-Oct-21,1253.28,1342.28,1812.28
8-Oct-21,1257.04,1346.04,1798.04
11-Oct-21,1265.65,1354.65,1652.65
12-Oct-21,1253.63,1342.63,1826.63
13-Oct-21,1260.23,1349.23,1773.23
14-Oct-21,1266.67,1355.67,1790.67
15-Oct-21,1283.67,1372.67,1562.67
18-Oct-21,1283.02,1372.02,1599.02
19-Oct-21,1294.57,1383.57,1830.57
20-Oct-21,1301.13,1390.13,1503.13
21-Oct-21,1293,1382,1687
22-Oct-21,1293.14,1382.14,1648.14
25-Oct-21,1297.26,1386.26,1738.26
26-Oct-21,1296.06,1385.06,1871.06
27-Oct-21,1282.89,1371.89,1865.89
28-Oct-21,1276.07,1365.07,1705.07
29-Oct-21,1264.75,1353.75,1587.75
1-Nov-21,1264.54,1353.54,1740.54
2-Nov-21,1263.96,1352.96,1537.96
3-Nov-21,1262.46,1351.46,1538.46
4-Nov-21,1268.45,1357.45,1720.45
5-Nov-21,1264.07,1353.07,1682.07
8-Nov-21,1268.82,1357.82,1739.82
9-Nov-21,1272.96,1361.96,1551.96
10-Nov-21,1274.39,1363.39,1510.39
11-Nov-21,1281.4,1370.4,1698.4
12-Nov-21,1285.48,1374.48,1721.48
15-Nov-21,1286.82,1375.82,1728.82
16-Nov-21,1290.55,1379.55,1559.55
17-Nov-21,1286.87,1375.87,1731.87
18-Nov-21,1273.87,1362.87,1725.87
19-Nov-21,1269.22,1358.22,1857.22
22-Nov-21,1261.56,1350.56,1455.56
23-Nov-21,1255.39,1344.39,1676.39
24-Nov-21,1253.15,1342.15,1788.15
25-Nov-21,1254.69,1343.69,1726.69
26-Nov-21,1223.13,1312.13,1575.13
29-Nov-21,1218.99,1307.99,1587.99
30-Nov-21,1212.42,1301.42,1532.42
1-Dec-21,1226.81,1315.81,1581.81
2-Dec-21,1236.19,1325.19,1659.19
3-Dec-21,1224.64,1313.64,1780.64
6-Dec-21,1213.96,1302.96,1702.96
7-Dec-21,1235.56,1324.56,1736.56
8-Dec-21,1241.01,1330.01,1491.01
9-Dec-21,1247.71,1336.71,1791.71
10-Dec-21,1238.54,1327.54,1725.54
13-Dec-21,1230.61,1319.61,1647.61
14-Dec-21,1222.1,1311.1,1481.1
15-Dec-21,1214.5,1303.5,1776.5
16-Dec-21,1223.89,1312.89,1771.89
17-Dec-21,1216.3,1305.3,1650.3
20-Dec-21,1190.08,1279.08,1493.08
21-Dec-21,1203.66,1292.66,1531.66
22-Dec-21,1209.88,1298.88,1774.88
23-Dec-21,1219.6,1308.6,1761.6
24-Dec-21,1220.55,1309.55,1421.55
27-Dec-21,1221.76,1310.76,1601.76
28-Dec-21,1227.12,1316.12,1808.12
29-Dec-21,1217.93,1306.93,1572.93
30-Dec-21,1222.75,1311.75,1758.75
31-Dec-21,1232.01,1321.01,1496.01
3-Jan-22,1233.5,1322.5,1436.5
4-Jan-22,1234.95,1323.95,1645.95
5-Jan-22,1222.74,1311.74,1762.74
6-Jan-22,1217.07,1306.07,1425.07
7-Jan-22,1226.1,1315.1,1765.1
10-Jan-22,1232.27,1321.27,1581.27
11-Jan-22,1243.04,1332.04,1471.04
12-Jan-22,1267.34,1356.34,1852.34
13-Jan-22,1263.3,1352.3,1530.3
14-Jan-22,1257.46,1346.46,1509.46
17-Jan-22,1254.4,1343.4,1477.4
18-Jan-22,1241.58,1330.58,1576.58
19-Jan-22,1239.83,1328.83,1803.83
20-Jan-22,1255.74,1344.74,1771.74
21-Jan-22,1244.31,1333.31,1527.31
24-Jan-22,1222.16,1311.16,1477.16
25-Jan-22,1210.45,1299.45,1641.45
26-Jan-22,1211.45,1300.45,1625.45
27-Jan-22,1192.06,1281.06,1638.06
28-Jan-22,1191.14,1280.14,1545.14
31-Jan-22,1208.23,1297.23,1420.23
1-Feb-22,1214.01,1303.01,1444.01
2-Feb-22,1213.23,1302.23,1687.23
3-Feb-22,1210.27,1299.27,1485.27
4-Feb-22,1221.1,1310.1,1628.1
7-Feb-22,1219.33,1308.33,1562.33
8-Feb-22,1219.81,1308.81,1595.81
9-Feb-22,1239.79,1328.79,1531.79
10-Feb-22,1251.09,1340.09,1457.09
11-Feb-22,1240.51,1329.51,1501.51
14-Feb-22,1220.42,1309.42,1546.42
15-Feb-22,1229.05,1318.05,1748.05
